operation_name,category,operation,M,K,N,Sharding_Strategy,num_devices,Latency_us,Latency_ms
matmul_FHE_Bootstrapping_BConv_M65536_K36_N104_shard_MN,FHE,Bootstrapping BConv,65536,36,104,shard_MN,8,81.004844,0.081004844
matmul_FHE_Bootstrapping_BConv_M65536_K36_N80_shard_M,FHE,Bootstrapping BConv,65536,36,80,shard_M,8,24.9225,0.0249225
matmul_FHE_Bootstrapping_BConv_M65536_K36_N80_shard_N,FHE,Bootstrapping BConv,65536,36,80,shard_N,8,15.52,0.015519999999999999
matmul_FHE_Bootstrapping_BConv_M65536_K36_N80_shard_MN,FHE,Bootstrapping BConv,65536,36,80,shard_MN,8,53.838672,0.053838672000000004
matmul_FHE_Bootstrapping_BConv_M65536_K36_N112_shard_M,FHE,Bootstrapping BConv,65536,36,112,shard_M,8,6.933828,0.006933828
matmul_FHE_Bootstrapping_BConv_M65536_K36_N112_shard_N,FHE,Bootstrapping BConv,65536,36,112,shard_N,8,14.973828,0.014973828
matmul_FHE_Bootstrapping_BConv_M65536_K36_N112_shard_MN,FHE,Bootstrapping BConv,65536,36,112,shard_MN,8,61.299844,0.061299844
matmul_FHE_Bootstrapping_BConv_M65536_K36_N108_shard_M,FHE,Bootstrapping BConv,65536,36,108,shard_M,8,40.58625,0.04058625
matmul_FHE_Bootstrapping_BConv_M65536_K36_N108_shard_MN,FHE,Bootstrapping BConv,65536,36,108,shard_MN,8,80.3525,0.08035250000000001
matmul_FHE_NTT_M64_K1024_N1024_shard_M,FHE,NTT,64,1024,1024,shard_M,8,53.375,0.053375
matmul_FHE_NTT_M64_K1024_N1024_shard_N,FHE,NTT,64,1024,1024,shard_N,8,66.24375,0.06624375
matmul_FHE_NTT_M64_K1024_N1024_shard_MN,FHE,NTT,64,1024,1024,shard_MN,8,66.908672,0.066908672
matmul_FHE_NTT_M64_K2048_N2048_shard_M,FHE,NTT,64,2048,2048,shard_M,8,105.991094,0.10599109400000001
matmul_FHE_NTT_M64_K2048_N2048_shard_N,FHE,NTT,64,2048,2048,shard_N,8,82.196172,0.082196172
matmul_FHE_NTT_M64_K2048_N2048_shard_MN,FHE,NTT,64,2048,2048,shard_MN,8,106.943594,0.106943594
matmul_FHE_NTT_M128_K2048_N2048_shard_M,FHE,NTT,128,2048,2048,shard_M,8,91.037344,0.091037344
matmul_FHE_NTT_M128_K2048_N2048_shard_N,FHE,NTT,128,2048,2048,shard_N,8,5.87375,0.0058737500000000005
matmul_FHE_NTT_M128_K2048_N2048_shard_MN,FHE,NTT,128,2048,2048,shard_MN,8,85.41,0.08541
matmul_FHE_NTT_M128_K4096_N4096_shard_M,FHE,NTT,128,4096,4096,shard_M,8,82.481406,0.08248140600000001
matmul_FHE_NTT_M128_K4096_N4096_shard_N,FHE,NTT,128,4096,4096,shard_N,8,32.561328,0.032561328
matmul_FHE_NTT_M128_K4096_N4096_shard_MN,FHE,NTT,128,4096,4096,shard_MN,8,38.423594,0.038423594
matmul_FHE_NTT_M256_K4096_N4096_shard_M,FHE,NTT,256,4096,4096,shard_M,8,119.40125,0.11940125
matmul_FHE_NTT_M256_K4096_N4096_shard_N,FHE,NTT,256,4096,4096,shard_N,8,111.955078,0.111955078
matmul_FHE_NTT_M256_K4096_N4096_shard_MN,FHE,NTT,256,4096,4096,shard_MN,8,19.0475,0.0190475
matmul_ChatGPT_OSS_Q_M256_K2880_N4096_shard_M,ChatGPT OSS,Q,256,2880,4096,shard_M,8,118.157422,0.118157422
matmul_ChatGPT_OSS_Q_M256_K2880_N4096_shard_N,ChatGPT OSS,Q,256,2880,4096,shard_N,8,10.5475,0.0105475
matmul_ChatGPT_OSS_Q_M256_K2880_N4096_shard_MN,ChatGPT OSS,Q,256,2880,4096,shard_MN,8,50.123594,0.050123594
matmul_ChatGPT_OSS_fused_QKV_M256_K2880_N5120_shard_M,ChatGPT OSS,fused QKV,256,2880,5120,shard_M,8,92.671172,0.092671172
matmul_ChatGPT_OSS_fused_QKV_M256_K2880_N5120_shard_N,ChatGPT OSS,fused QKV,256,2880,5120,shard_N,8,12.100078,0.012100078
matmul_ChatGPT_OSS_fused_QKV_M256_K2880_N5120_shard_MN,ChatGPT OSS,fused QKV,256,2880,5120,shard_MN,8,16.08,0.016079999999999997
matmul_ChatGPT_OSS_attn_out_M256_K4096_N2880_shard_M,ChatGPT OSS,attn out,256,4096,2880,shard_M,8,102.423672,0.102423672
matmul_ChatGPT_OSS_attn_out_M256_K4096_N2880_shard_N,ChatGPT OSS,attn out,256,4096,2880,shard_N,8,72.582344,0.07258234400000001
matmul_ChatGPT_OSS_attn_out_M256_K4096_N2880_shard_MN,ChatGPT OSS,attn out,256,4096,2880,shard_MN,8,29.070078,0.029070078
matmul_ChatGPT_OSS_scores_per_group_M256_K64_N2048_shard_M,ChatGPT OSS,scores per group,256,64,2048,shard_M,8,71.151172,0.071151172
matmul_ChatGPT_OSS_scores_per_group_M256_K64_N2048_shard_N,ChatGPT OSS,scores per group,256,64,2048,shard_N,8,95.901172,0.095901172
matmul_ChatGPT_OSS_scores_per_group_M256_K64_N2048_shard_MN,ChatGPT OSS,scores per group,256,64,2048,shard_MN,8,60.566172,0.060566172
